ترقيم,رمز العرض,التخصص,الشهادة,المستوى المطلوب,نمط التكوين,التعريف بالنمط,المؤسسة,الداخلية,تاريخ البداية,تاريخ النهاية
145,206287,MES0701 - حِلاقـة النساء | Coiffure Dames,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1908 | مركز التكوين المهني و التمهين إناث العلمة  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
146,209710,BTP0706 - التركيب الصحي و الغـاز | Installation sanitaire et gaz,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1918 | مركز التكوين المهني و التمهين العلمة 2  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
147,209715,ELE0704 - تركيب و صيانة أجهزة التبريد و التكييف | Installation et entretien des appareils de froid et climatisation,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1918 | مركز التكوين المهني و التمهين العلمة 2  | العلمة_سطيف,undefined,2025-02-23,2026-08-22
148,211577,INT1202 - عـامــــــل في الميكـــرو معلـوماتيـــة | Opérateur micro-informatique,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1918 | مركز التكوين المهني و التمهين العلمة 2  | العلمة_سطيف,undefined,2025-02-23,2026-08-22
149,211579,MES0701 - حِلاقـة النساء | Coiffure Dames,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1918 | مركز التكوين المهني و التمهين العلمة 2  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
150,211580,TAG0701 - أمين مخزن | Magasinier,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1918 | مركز التكوين المهني و التمهين العلمة 2  | العلمة_سطيف,undefined,2025-02-23,2026-02-22
151,206590,TAG0702 - المحاسبة | Comptabilité,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-08-22
152,206614,ELE0703 - الكهرباء المعمارية | Electricité bâtiment,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
153,206657,INT1205P - إعلام آلي  التسييـر | Informatique de gestion,ش.ت | BT,الرابعة متوسط | 4EM ANNEE MOYENNE,التكوين عن طريق المعابر | Formation Passerelle,هو تكوين متواصل موجه للعمال، يندرج ضمن الاستمرارية بين برنامجين يهدفان إلى اكتساب شهادة عالية مقارنة بالشهادة الأساسية. يسمح هذا الجهاز لحاملي شهادة التكوين المهني الذين تتوفر فيهم شروط الالتحاق بالحصول على تكوين عالٍ في نفس التخصص أو في نفس العائلة المهنية.,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2025-08-22
154,206986,BTP0706 - التركيب الصحي و الغـاز | Installation sanitaire et gaz,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
155,207037,INT1202 - عـامــــــل في الميكـــرو معلـوماتيـــة | Opérateur micro-informatique,ش.ت.م | CMP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-08-22
156,207051,MES0701 - حِلاقـة النساء | Coiffure Dames,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,تكوين عن طريق التمهين | Formation par Apprentissage,التكوين عن طريق التمهين هو نمط من التكوين المهني ينظم في شكل تناوبي بين المؤسسة العمومية للتكوين المهني و الوسط المهني، يهدف إلى اكتساب تأهيل مهني أولي في منصب التمهين يسمح بممارسة مهنة في مختلف قطاعات النشاط المرتبطة بإنتاج المواد و/ أو الخدمات,1924 | مركز التكوين المهني و التمهين جميلة  | جميلة_سطيف,undefined,2025-02-23,2026-02-22
157,209171,ELE0702 - الكهرباء الصناعية | Electricité industrielle,ش.ك.م | CAP,الرابعة متوسط | 4EM ANNEE MOYENNE,حضوري أولي  | Présentiel,التكوين الإقامي (الحضوري) هو تكوين يهدف إلى اكتساب تأهيل داخل مؤسسة تكوينية باستعمال التجهيزات الصناعية أو التعليمية,1913 | مركز التكوين المهني و التمهين بيضــاء بـرج  | بيضاء برج_سطيف,undefined,2025-02-23,2026-02-22
